Player;Nation;Pos;Squad;Comp;Age;Born;90s;G/Sh;PasAss;ScaDrib;Tkl+Int
Leonardo César Jardim;BRA;GK;Lille;Ligue 1;27;1995;6;0;0;0;0
Julian Chabot;GER;DF;Köln;Bundesliga;25;1998;5.4;0;0.37;0;4.81
Florian Chabrolle;FRA;MF;Ajaccio;Ligue 1;24;1998;3.6;0;0;0;3.33
El Chadaille Bitshiabu;FRA;DF;Paris S-G;Ligue 1;17;2005;2.4;0;0;0;5
Fares Chaïbi;FRA;FWMF;Toulouse;Ligue 1;20;2002;15.2;0.14;1.32;0.07;1.97
Nathaniel Chalobah;ENG;MF;Fulham;Premier League;28;1994;0.1;0;0;0;10
Trevoh Chalobah;ENG;DF;Chelsea;Premier League;23;1999;10.8;0;0.09;0;2.69
Calum Chambers;ENG;DFMF;Aston Villa;Premier League;28;1995;1.2;0;0;0;4.17
Timothy Chandler;USA;DF;Eint Frankfurt;Bundesliga;32;1990;0.9;0;1.11;0;2.22
Gaëtan Charbonnier;FRA;FWMF;Auxerre;Ligue 1;34;1988;2.8;0.14;1.07;0;0.71
Brendan Chardonnet;FRA;DF;Brest;Ligue 1;28;1994;17.5;0;0.34;0;3.71
Xavier Chavalerin;FRA;MF;Troyes;Ligue 1;31;1991;15;0.13;0.73;0.13;4.2
Pep Chavarría;ESP;FWDF;Rayo Vallecano;La Liga;24;1998;1.1;0;1.82;0;0.91
Rayan Cherki;FRA;MFFW;Lyon;Ligue 1;19;2003;7.7;0.07;5.06;1.3;1.43
Ilyes Cheti;ALG;DF;Angers;Ligue 1;28;1995;1.7;0;0.59;0;3.53
Lucas Chevalier;FRA;GK;Lille;Ligue 1;21;2001;16;0;0.06;0;0.13
Fabio Chiarodia;ITA;DF;Werder Bremen;Bundesliga;17;2005;0;0;0;0;1
Federico Chiesa;ITA;DFFW;Juventus;Serie A;25;1997;2.7;0;1.85;0.37;2.96
Ben Chilwell;ENG;DFMF;Chelsea;Premier League;26;1996;5;0.33;0.6;0;3
Pedro Chirivella;ESP;MF;Nantes;Ligue 1;25;1997;17.7;0;1.02;0.11;2.43
Joris Chotard;FRA;MF;Montpellier;Ligue 1;21;2001;14.2;0;0.85;0.07;3.59
Andreas Christensen;DEN;DF;Barcelona;La Liga;26;1996;8;0;0.25;0;2
Oliver Christensen;DEN;GK;Hertha BSC;Bundesliga;23;1999;19;0;0;0;0.05
Ryan Christie;SCO;MFFW;Bournemouth;Premier League;27;1995;11.5;0.06;1.22;0.09;3.3
Carney Chukwuemeka;ENG;MFFW;Chelsea;Premier League;19;2003;2.2;0;1.36;0;5.45
Samuel Chukwueze;NGA;FWMF;Villarreal;La Liga;23;1999;11.2;0.04;1.79;0.71;1.52
Darko Churlinov;MKD;FW;Stuttgart;Bundesliga;22;2000;0.3;0;0;0;10
Víctor Chust;ESP;DF;Cádiz;La Liga;22;2000;9.5;1;0.11;0;1.89
Tolga Ciðerci;TUR;MF;Hertha BSC;Bundesliga;30;1992;0.5;0;2;0;2
Yanis Cimignani;FRA;MFDF;Ajaccio;Ligue 1;21;2002;3.1;0;0.97;0;4.19
Daniel Ciofani;ITA;FW;Cremonese;Serie A;37;1985;5.2;0.14;0.96;0;0.77
Tio Cipot;SVN;DFFW;Spezia;Serie A;19;2003;0.6;0;1.67;0;6.67
Pathé Ciss;SEN;MFDF;Rayo Vallecano;La Liga;28;1994;10.2;0.06;0.39;0;4.61
Souleymane Cissé;FRA;DF;Clermont Foot;Ligue 1;20;2002;0.4;0;0;0;5
Patrick Ciurria;ITA;DFMF;Monza;Serie A;28;1995;13.8;0.13;1.52;0.07;1.59
Bobby Clark;ENG;MF;Liverpool;Premier League;18;2005;0.1;0;0;0;0
Alexis Claude-Maurice;FRA;FW;Nice;Ligue 1;24;1998;0.7;0;1.43;0;7.14
Alexis Claude-Maurice;FRA;MFFW;Lens;Ligue 1;24;1998;5;0.22;1.2;0.2;2
Jonathan Clauss;FRA;DF;Marseille;Ligue 1;30;1992;15.9;0.04;1.95;0.19;2.39
Carlos Clerc;ESP;DFMF;Elche;La Liga;30;1992;13;0;0.23;0.08;3.23
Nathaniel Clyne;ENG;DF;Crystal Palace;Premier League;31;1991;13.4;0;0.37;0;2.69
Conor Coady;ENG;DF;Everton;Premier League;29;1993;18.9;0.33;0.21;0;1.22
Marcus Coco;FRA;DFFW;Nantes;Ligue 1;26;1996;3.2;0.2;1.25;0;5
Alexandre Coeff;FRA;DF;Auxerre;Ligue 1;30;1992;6.5;0;0.15;0;2.77
Jack Colback;ENG;MF;Nott'ham Forest;Premier League;33;1989;3.1;0;0.65;0;4.52
Séamus Coleman;IRL;DF;Everton;Premier League;34;1988;9.5;0;0.21;0;2.84
Álex Collado;ESP;MF;Elche;La Liga;23;1999;6;0.09;2;0;4
Diego Collado;ESP;FW;Villarreal;La Liga;22;2001;0.1;0;0;0;0
Omar Colley;GAM;DF;Sampdoria;Serie A;30;1992;15.4;0.17;0;0;2.6
Nathan Collins;IRL;DF;Wolves;Premier League;21;2001;16.4;0;0.12;0.06;2.5
Lorenzo Colombo;ITA;FW;Lecce;Serie A;20;2002;11;0.14;1.09;0.36;1.27
Andrea Colpani;ITA;MF;Monza;Serie A;23;1999;5.3;0.17;1.51;0.38;1.7
Levi Colwill;ENG;DF;Brighton;Premier League;19;2003;5.1;0;0.39;0;1.37
Kingsley Coman;FRA;FWMF;Bayern Munich;Bundesliga;26;1996;8.3;0.15;2.77;0.6;0.96
Eray Cömert;SUI;DF;Valencia;La Liga;25;1998;14.9;0.13;0.2;0.07;2.95
Santi Comesaña;ESP;MF;Rayo Vallecano;La Liga;26;1996;12.4;0.08;1.21;0.24;4.44
Andrea Consigli;ITA;GK;Sassuolo;Serie A;36;1987;19;0;0;0;0.05
