Player;Nation;Pos;Squad;Comp;Age;Born;90s;G/Sh;PasAss;ScaDrib;Tkl+Int
Ryan Fraser;SCO;FW;Newcastle Utd;Premier League;28;1994;3.5;0;1.43;0;0.57
Davide Frattesi;ITA;MF;Sassuolo;Serie A;23;1999;19.2;0.13;1.04;0.21;2.5
Fred;BRA;MF;Manchester Utd;Premier League;29;1993;8.5;0.1;1.88;0;4.24
Ryan Fredericks;ENG;DF;Bournemouth;Premier League;30;1992;5.1;0;0.2;0;0.39
Iván Fresneda;ESP;DF;Valladolid;La Liga;18;2004;8.5;0;1.18;0;4.94
Remo Freuler;SUI;MF;Nott'ham Forest;Premier League;30;1992;16.2;0;0.56;0;3.58
Michael Frey;SUI;FW;Schalke 04;Bundesliga;28;1994;2.6;0;1.92;0;0.38
Marco Friedl;AUT;DF;Werder Bremen;Bundesliga;24;1998;16.8;0;0.42;0.06;4.23
Marvin Friedrich;GER;DF;M'Gladbach;Bundesliga;27;1995;10.7;0.14;0.37;0;2.24
Jeremie Frimpong;NED;DFMF;Leverkusen;Bundesliga;22;2000;17.9;0.23;1.23;0.5;2.68
Chris Führich;GER;FWMF;Stuttgart;Bundesliga;25;1998;13.1;0.1;1.07;0.15;2.52
Angelo Fulgini;FRA;DF;Lens;Ligue 1;26;1996;0.2;0;0;0;5
Angelo Fulgini;FRA;MF;Mainz 05;Bundesliga;26;1996;5.8;0;1.38;0;1.9
Niclas Füllkrug;GER;FW;Werder Bremen;Bundesliga;30;1993;18.5;0.16;1.35;0;0.38
Matteo Gabbia;ITA;DF;Milan;Serie A;23;1999;6.7;0;0;0;3.28
Manolo Gabbiadini;ITA;FWMF;Sampdoria;Serie A;31;1991;11.8;0.1;0.76;0;0.76
Gianluca Gaetano;ITA;MF;Napoli;Serie A;22;2000;0.4;0;2.5;0;5
Roberto Gagliardini;ITA;MF;Inter;Serie A;28;1994;4.4;0;0.68;0;2.95
Adolfo Gaich;ARG;FW;Hellas Verona;Serie A;23;1999;0.3;0;0;0;0
Cody Gakpo;NED;FW;Liverpool;Premier League;23;1999;2.8;0;0.71;0.36;1.43
Javi Galán;ESP;DF;Celta Vigo;La Liga;28;1994;19.1;0;1.31;0.05;3.93
Iñigo Ruiz de Galarreta;ESP;MF;Mallorca;La Liga;29;1993;14.5;0;0.76;0;3.31
Pablo Galdames Millán;CHI;DF;Cremonese;Serie A;26;1996;0.4;0;0;0;5
Conor Gallagher;ENG;MFFW;Chelsea;Premier League;23;2000;9.3;0.08;1.83;0.11;4.3
Antonino Gallo;ITA;DF;Lecce;Serie A;23;2000;14.8;0;1.35;0.2;2.77
Gauthier Gallon;FRA;GK;Troyes;Ligue 1;29;1993;15;0;0.07;0;0.27
Cristian Gamboa;CRC;DF;Bochum;Bundesliga;33;1989;14.1;0;0.64;0.07;3.62
Kévin Gameiro;FRA;FW;Strasbourg;Ligue 1;35;1987;15.5;0.23;1.03;0;1.42
Idrissa Gana Gueye;SEN;MF;Everton;Premier League;33;1989;13.6;0;0.37;0;4.78
Ignatius Ganago;CMR;FWMF;Nantes;Ligue 1;23;1999;9.2;0.19;0.54;0;0.43
Ignatius Ganago;CMR;FW;Lens;Ligue 1;23;1999;0.7;0;0;0;0
Silvère Ganvoula M'Boussy;CGO;FW;Bochum;Bundesliga;26;1996;2.3;0;2.17;0.43;0.87
Aleix García;ESP;MF;Girona;La Liga;25;1997;20.3;0;2.91;0.1;2.56
Álvaro García;ESP;FWMF;Rayo Vallecano;La Liga;30;1992;16.5;0.17;1.39;0.12;2.73
Borja García;ESP;FWMF;Girona;La Liga;32;1990;1.5;0.33;0;0;1.33
Carlos García;ESP;DF;Cádiz;La Liga;22;2000;0.3;0;3.33;0;0
Dani García;ESP;MF;Athletic Club;La Liga;32;1990;6.6;0;0.45;0;3.18
David García;ESP;DF;Osasuna;La Liga;28;1994;17.5;0.13;0.23;0;2.91
Eric García;ESP;DF;Barcelona;La Liga;22;2001;8.3;0.33;0;0;3.61
Francisco Garcia;ESP;DF;Rayo Vallecano;La Liga;23;1999;19.9;0;0.75;0.1;3.22
Raúl García;ESP;FWMF;Athletic Club;La Liga;36;1986;6.3;0.03;0.79;0.32;1.9
Rubén García;ESP;MFFW;Osasuna;La Liga;29;1993;6.9;0.08;1.88;0.14;2.46
Unai García;ESP;DF;Osasuna;La Liga;31;1992;14.1;0;0.14;0;2.2
Alejandro Garnacho;ESP;FW;Manchester Utd;Premier League;18;2004;3.6;0.08;0.56;0.28;1.94
James Garner;ENG;MF;Everton;Premier League;21;2001;1.6;0;0;0;6.25
Felix Garreta;ESP;DF;Betis;La Liga;18;2004;1;0;0;0;2
Sékou Gassama;SEN;FW;Valladolid;La Liga;27;1995;0.4;0;2.5;0;0
Johan Gastien;FRA;MF;Clermont Foot;Ligue 1;35;1988;17.4;0.17;0.98;0;3.56
Federico Gatti;ITA;DF;Juventus;Serie A;24;1998;6;0;0.17;0;2.33
Gavi;ESP;MFFW;Barcelona;La Liga;18;2004;14.1;0.08;1.7;0.14;2.62
Paulo Gazzaniga;ARG;GK;Girona;La Liga;31;1992;11;0;0;0;0
David de Gea;ESP;GK;Manchester Utd;Premier League;32;1990;22;0;0.05;0;0
Dennis Geiger;GER;MF;Hoffenheim;Bundesliga;24;1998;13.1;0.25;2.06;0.08;2.67
Joe Gelhardt;ENG;FW;Leeds United;Premier League;20;2002;2.4;0;0.83;0;2.5
Valentin Gendrey;FRA;DF;Lecce;Serie A;22;2000;20.2;0;0.59;0.05;4.31
Denis Genreau;AUS;MFFW;Toulouse;Ligue 1;23;1999;1.1;0;1.82;0;10.9
Yannick Gerhardt;GER;MF;Wolfsburg;Bundesliga;28;1994;10.8;0.24;0.93;0;1.85
Valère Germain;FRA;FWMF;Montpellier;Ligue 1;32;1990;6.5;0.12;0.92;0;1.23
Gerson;BRA;MF;Marseille;Ligue 1;25;1997;4.6;0.22;0.87;0.22;1.74
Ismaël Gharbi;ESP;MFFW;Paris S-G;Ligue 1;18;2004;0.5;0;0;0;6
Paolo Ghiglione;ITA;DF;Cremonese;Serie A;26;1997;5.2;0;1.35;0;2.5
Saman Ghoddos;IRN;MFFW;Brentford;Premier League;29;1993;1;0;1;0;4
Faouzi Ghoulam;ALG;DF;Angers;Ligue 1;32;1991;0.3;0;3.33;0;6.67
Morgan Gibbs-White;ENG;FWMF;Wolves;Premier League;23;2000;2;0;0.5;0.5;2
Morgan Gibbs-White;ENG;MFFW;Nott'ham Forest;Premier League;23;2000;17.3;0.05;2.14;0.4;1.33
Niko Gießelmann;GER;DF;Union Berlin;Bundesliga;31;1991;10.5;0;1.9;0.19;2
Samuel Gigot;FRA;DF;Marseille;Ligue 1;29;1993;14.1;0.25;0.28;0;4.54
Óscar Gil;ESP;DF;Espanyol;La Liga;25;1997;14.1;0;0.57;0;3.62
Mario Gila;ESP;DF;Lazio;Serie A;22;2000;1;0;0;0;6
Billy Gilmour;SCO;MF;Brighton;Premier League;21;2001;1.8;0;0.56;0;1.11
Álvaro Giménez;ESP;FW;Cádiz;La Liga;31;1991;0.2;0;0;0;0
Gvidas Gineitis;LTU;MF;Torino;Serie A;18;2004;0.5;0;0;0;0
Matthias Ginter;GER;DF;Freiburg;Bundesliga;29;1994;20;0.3;0.35;0;2.5
Andrei Girotto;BRA;DFMF;Nantes;Ligue 1;30;1992;20.8;0.06;0.43;0;5.91
Olivier Giroud;FRA;FW;Milan;Serie A;36;1986;15;0.11;1.07;0;0.53
Serge Gnabry;GER;FWMF;Bayern Munich;Bundesliga;27;1995;12.3;0.16;1.71;0.49;1.79
Degnand Gnonto;ITA;FWMF;Leeds United;Premier League;19;2003;8;0.15;1.75;0.5;1.88
Ben Godfrey;ENG;DF;Everton;Premier League;25;1998;2.3;0;0.43;0;3.04
Pierluigi Gollini;ITA;GK;Fiorentina;Serie A;27;1995;3;0;0;0;0.33
Aleksandr Golovin;RUS;MFFW;Monaco;Ligue 1;26;1996;17.5;0.14;2.34;0.34;3.66
André Gomes;POR;MF;Lille;Ligue 1;29;1993;8.5;0.1;1.06;0;3.18
Angel Gomes;ENG;MF;Lille;Ligue 1;22;2000;18.6;0.04;1.29;0.27;1.94
João Gomes;BRA;MF;Wolves;Premier League;22;2001;0.2;0.5;0;0;5
Toti Gomes;POR;DF;Wolves;Premier League;24;1999;3.4;0;0.29;0;1.76
Dani Gómez;ESP;MFFW;Espanyol;La Liga;24;1998;0.8;0;1.25;0;3.75
Joe Gomez;ENG;DF;Liverpool;Premier League;25;1997;12.3;0;0.08;0;3.41
Maxi Gómez;URU;FW;Valencia;La Liga;26;1996;1.2;0;1.67;0;0
Moi Gómez;ESP;MFFW;Osasuna;La Liga;28;1994;18.2;0.09;2.14;0.05;1.21
Papu Gómez;ARG;MFFW;Sevilla;La Liga;34;1988;7.4;0;0.95;0;1.22
Sergi Gómez;ESP;DF;Espanyol;La Liga;30;1992;12.5;0;0.16;0;2.24
Sergio Gómez;ESP;DFMF;Manchester City;Premier League;22;2000;1.2;0;1.67;0;3.33
Maxime Gonalons;FRA;MF;Clermont Foot;Ligue 1;33;1989;6.1;0.33;0;0;3.93
Diego González;ESP;DF;Elche;La Liga;28;1995;8.1;0;0;0;1.85
Édgar González;ESP;DF;Betis;La Liga;25;1997;12.7;0;0.16;0;2.44
Giovanni González;URU;DF;Mallorca;La Liga;28;1994;5.8;0;0.86;0;2.59
Joan Gonzàlez;ESP;MF;Lecce;Serie A;21;2002;17.8;0.07;0.73;0.06;2.64
Nicolás González;ARG;FWMF;Fiorentina;Serie A;24;1998;5;0.11;1.8;0.2;1
Nicolás González;ESP;MF;Valencia;La Liga;21;2002;6.6;0.11;0.76;0;2.73
Oumar Gonzalez;CMR;DF;Ajaccio;Ligue 1;24;1998;17.5;0;0.06;0;3.54
Roberto González;ESP;FWMF;Betis;La Liga;22;2001;0.6;0;5;0;1.67
Jacek Góralski;POL;MF;Bochum;Bundesliga;30;1992;1.6;0;1.25;0;5
Anthony Gordon;ENG;MFFW;Newcastle Utd;Premier League;21;2001;0.9;0;2.22;0;1.11
Anthony Gordon;ENG;FW;Everton;Premier League;21;2001;12.2;0.12;0.66;0.08;3.11
Leon Goretzka;GER;MF;Bayern Munich;Bundesliga;28;1995;11.3;0.11;1.24;0.09;3.36
Andoni Gorosabel;ESP;DF;Real Sociedad;La Liga;26;1996;8.2;0;0.61;0;3.17
Robin Gosens;GER;DF;Inter;Serie A;28;1994;4;0.17;1;0;4
Mario Götze;GER;MF;Eint Frankfurt;Bundesliga;30;1992;17.8;0.12;1.35;0;1.97
Amine Gouiri;FRA;FWMF;Nice;Ligue 1;22;2000;2.5;0;1.2;0;0.4
Amine Gouiri;FRA;FW;Rennes;Ligue 1;22;2000;15.1;0.21;1.39;0.33;1.39
Jeffrey Gouweleeuw;NED;DF;Augsburg;Bundesliga;31;1991;18.3;0;0.38;0.11;3.33
Jonathan Gradit;FRA;DF;Lens;Ligue 1;30;1992;15.7;0.33;0.32;0.06;2.87
José Gragera;ESP;MF;Espanyol;La Liga;22;2000;0.3;0;0;0;10
Alberto Grassi;ITA;MF;Empoli;Serie A;27;1995;5.2;0;0.58;0;5.77
Ryan Gravenberch;NED;MF;Bayern Munich;Bundesliga;20;2002;2.8;0;0.71;0;3.57
Andrew Gravillon;GLP;DF;Torino;Serie A;25;1998;0.1;0;0;0;0
Andrew Gravillon;GLP;DF;Reims;Ligue 1;25;1998;11.5;0;0.26;0;3.22
Demarai Gray;ENG;FWMF;Everton;Premier League;26;1996;18.7;0.06;1.39;0.16;1.39
Jack Grealish;ENG;FW;Manchester City;Premier League;27;1995;11.6;0.11;2.24;0.34;1.55
Sam Greenwood;ENG;MFFW;Leeds United;Premier League;21;2002;3.5;0.09;2.86;0;2.86
Michael Gregoritsch;AUT;FW;Freiburg;Bundesliga;28;1994;16.1;0.14;0.99;0.06;1.06
Leo Greiml;AUT;DF;Schalke 04;Bundesliga;21;2001;2.5;0;0;0;1.6
Clément Grenier;FRA;MF;Mallorca;La Liga;32;1991;6.6;0;1.21;0.15;3.48
Antoine Griezmann;FRA;FWMF;Atlético Madrid;La Liga;31;1991;14.1;0.12;2.7;0.35;2.41
Vincenzo Grifo;ITA;FWMF;Freiburg;Bundesliga;29;1993;14.3;0.16;2.45;0.07;1.05
Lennart Grill;GER;GK;Union Berlin;Bundesliga;24;1999;4;0;0;0;0
Christian Groß;GER;MF;Werder Bremen;Bundesliga;34;1989;13.3;0.33;0.3;0;3.98
Pascal Groß;GER;MFDF;Brighton;Premier League;31;1991;20.2;0.29;2.08;0;2.23
Brajan Gruda;GER;MF;Mainz 05;Bundesliga;18;2004;0;0;1;0;0
Ilia Gruev;BUL;MF;Werder Bremen;Bundesliga;22;2000;10.7;0;0.47;0;3.83
Carlos Gruezo;ECU;MF;Augsburg;Bundesliga;27;1995;10.7;0;0.56;0;2.9
Vicente Guaita;ESP;GK;Crystal Palace;Premier League;36;1987;22;0;0;0;0
Andrés Guardado;MEX;MFFW;Betis;La Liga;36;1986;7.7;0.33;1.04;0;3.77
Sergi Guardiola;ESP;FW;Valladolid;La Liga;31;1991;5.6;0;0.36;0;2.5
Sergi Guardiola;ESP;FW;Cádiz;La Liga;31;1991;1.1;0.17;1.82;0;0.91
Nemanja Gudelj;SRB;DFMF;Sevilla;La Liga;31;1991;17.8;0.09;0.11;0;2.02
Gabriel Gudmundsson;SWE;FWDF;Lille;Ligue 1;23;1999;1.2;0;3.33;0.83;5
Gonçalo Guedes;POR;FWMF;Wolves;Premier League;26;1996;7.9;0.05;1.14;0.13;1.14
Axel Gueguin;FRA;FWMF;Montpellier;Ligue 1;17;2005;0.2;0;0;0;0
Marc Guéhi;ENG;DF;Crystal Palace;Premier League;22;2000;21;0;0.14;0;2.71
Mattéo Guendouzi;FRA;MF;Marseille;Ligue 1;23;1999;16.2;0.05;0.93;0.19;2.47
Raphaël Guerreiro;POR;DF;Dortmund;Bundesliga;29;1993;15.4;0.07;1.56;0.19;2.86
Evann Guessand;FRA;FWMF;Nantes;Ligue 1;21;2001;10.5;0.13;1.05;0.48;1.81
Ander Guevara;ESP;MF;Real Sociedad;La Liga;25;1997;1.5;0;2.67;0;2
Pape Gueye;SEN;MF;Sevilla;La Liga;24;1999;1.9;0;0.53;0.53;4.74
Pape Gueye;SEN;MFDF;Marseille;Ligue 1;24;1999;5.5;0.13;0.73;0;4.91
Josuha Guilavogui;FRA;MFDF;Wolfsburg;Bundesliga;32;1990;5.8;0.33;0.69;0;2.76
Frederic Guilbert;FRA;DF;Strasbourg;Ligue 1;28;1994;1.9;0;1.58;0;7.89
Hugo Guillamón;ESP;MF;Valencia;La Liga;23;2000;12.7;0;1.65;0;1.97
Bruno Guimarães;BRA;MF;Newcastle Utd;Premier League;25;1997;15.5;0.21;1.16;0.06;3.81
Sehrou Guirassy;GUI;MF;Rennes;Ligue 1;26;1996;0.3;0;6.67;0;0
Sehrou Guirassy;GUI;FW;Stuttgart;Bundesliga;26;1996;10.8;0.18;1.02;0.09;0.19
Rafik Guitane;FRA;FW;Reims;Ligue 1;23;1999;0;0;0;0;0
Péter Gulácsi;HUN;GK;RB Leipzig;Bundesliga;32;1990;6;0;0;0;0
Manuel Gulde;GER;DFFW;Freiburg;Bundesliga;32;1991;1.6;0;0;0;2.5
Gerard Gumbau;ESP;MF;Elche;La Liga;28;1994;14;0;1.64;0;2.57
Robert Gumny;POL;DF;Augsburg;Bundesliga;24;1998;14.3;0.2;0.49;0;2.94
Ýlkay Gündoðan;GER;MF;Manchester City;Premier League;32;1990;13.9;0.06;2.01;0;2.37
Christian Günter;GER;DFMF;Freiburg;Bundesliga;29;1993;19.6;0;1.99;0.15;1.63
Koray Günter;GER;DF;Hellas Verona;Serie A;28;1994;11.1;0.11;0.72;0;3.6
Gorka Guruzeta;ESP;FWMF;Athletic Club;La Liga;26;1996;5.8;0.22;0.69;0;2.07
Malo Gusto;FRA;DF;Lyon;Ligue 1;19;2003;16;0;1.44;0.25;3.63
Raúl Guti;ESP;MF;Elche;La Liga;26;1996;8.5;0;0;0.12;2.47
Miguel Gutiérrez;ESP;DF;Girona;La Liga;21;2001;17;0;0.94;0.24;2
Joško Gvardiol;CRO;DF;RB Leipzig;Bundesliga;21;2002;13.5;0;0.44;0;2.22
Darko Gyabi;ENG;FW;Leeds United;Premier League;18;2004;0.1;0;0;0;20
Emmanuel Gyasi;GHA;FWDF;Spezia;Serie A;29;1994;17.1;0.05;0.7;0.06;0.82
Norbert Gyömbér;SVK;DF;Salernitana;Serie A;30;1992;8.9;0;0.11;0;3.48
Christian Gytkjær;DEN;FW;Monza;Serie A;32;1990;4.6;0.09;0.43;0;1.3
Erling Haaland;NOR;FW;Manchester City;Premier League;22;2000;18.2;0.3;0.93;0.11;0.22
Nicolas Haas;SUI;MF;Empoli;Serie A;27;1996;9.3;0.17;0.65;0.11;2.9
Janik Haberer;GER;MF;Union Berlin;Bundesliga;28;1994;13.9;0.23;0.86;0;1.65
Alexander Hack;GER;DF;Mainz 05;Bundesliga;29;1993;12.1;0;0.33;0;4.3
Munir El Haddadi;MAR;MFFW;Getafe;La Liga;27;1995;3.5;0.11;0.86;0;1.43
Jaouen Hadjam;FRA;DF;Nantes;Ligue 1;19;2003;2.1;0;0.48;0;6.19
André Hahn;GER;FWMF;Augsburg;Bundesliga;32;1990;4.3;0.29;0.23;0;3.02
Amadou Haidara;MLI;MF;RB Leipzig;Bundesliga;25;1998;6.9;0.1;0.72;0;2.75
Massadio Haïdara;MLI;DFMF;Lens;Ligue 1;30;1992;11.8;0;0.25;0.08;3.98
Achraf Hakimi;MAR;DFMF;Paris S-G;Ligue 1;24;1998;16.8;0.29;1.73;0.12;2.92
Lewis Hall;ENG;DFMF;Chelsea;Premier League;18;2004;3.4;0;1.18;0;6.18
Sébastien Haller;CIV;FW;Dortmund;Bundesliga;28;1994;2.7;0.25;2.22;0;0
Marcel Halstenberg;GER;DF;RB Leipzig;Bundesliga;31;1991;10.9;0.2;0.73;0;3.39
Mathis Hamdi;FRA;DF;Troyes;Ligue 1;19;2003;0.1;0;0;0;0
Romain Hamouma;FRA;FWMF;Ajaccio;Ligue 1;35;1987;6.9;0.18;1.45;0.29;0.72
Andreas Hanche-Olsen;NOR;DF;Mainz 05;Bundesliga;26;1997;4;0;0.25;0;2.75
Genki Haraguchi;JPN;MF;Stuttgart;Bundesliga;31;1991;2;0;1.5;0;2
Genki Haraguchi;JPN;MF;Union Berlin;Bundesliga;31;1991;5.5;0;1.27;0.18;2.73
Amine Harit;MAR;MFFW;Marseille;Ligue 1;25;1997;5.7;0;2.63;0.53;1.75
Luke Harris;WAL;MFFW;Fulham;Premier League;17;2005;0.1;0;0;0;0
Jack Harrison;ENG;FWMF;Leeds United;Premier League;26;1996;14.8;0.06;2.03;0.27;1.96
Abdou Harroui;NED;MF;Sassuolo;Serie A;25;1998;3.3;0.11;0.3;0;2.12
Makoto Hasebe;JPN;DF;Eint Frankfurt;Bundesliga;39;1984;4.3;0;0.23;0;2.56
Hans Hateboer;NED;DF;Atalanta;Serie A;29;1994;15.5;0.08;0.84;0.06;2.13
Kai Havertz;GER;FWMF;Chelsea;Premier League;23;1999;17.7;0.12;1.07;0.06;1.81
Eden Hazard;BEL;FW;Real Madrid;La Liga;32;1991;1.1;0;2.73;0;0
Thorgan Hazard;BEL;FWDF;Dortmund;Bundesliga;29;1993;5.2;0;2.12;0;4.23
Rhys Healey;WAL;FW;Toulouse;Ligue 1;28;1994;0.7;0.25;2.86;0;0
Jan Paul van Hecke;NED;DF;Brighton;Premier League;22;2000;0.9;0;0;0;6.67
Jonas Hector;GER;DF;Köln;Bundesliga;32;1990;16.4;0;1.1;0.18;4.21
Hwang Hee-chan;KOR;FW;Wolves;Premier League;27;1996;7.7;0;1.04;0.13;1.43
Gauthier Hein;FRA;MFFW;Auxerre;Ligue 1;26;1996;9.7;0.07;1.44;0.1;2.16
Dominique Heintz;GER;DF;Bochum;Bundesliga;29;1993;3.8;0;0;0;2.37
Dean Henderson;ENG;GK;Nott'ham Forest;Premier League;25;1997;18;0;0;0;0
Jordan Henderson;ENG;MF;Liverpool;Premier League;32;1990;10.2;0;1.27;0;2.25
Liam Henderson;SCO;MF;Empoli;Serie A;26;1996;7.6;0;1.58;0;1.97
Jack Hendry;SCO;DF;Cremonese;Serie A;27;1995;2.4;0;0.42;0;0.42
Wayne Hennessey;WAL;GK;Nott'ham Forest;Premier League;36;1987;2;0;0;0;0.5
Benjamin Henrichs;GER;DFMF;RB Leipzig;Bundesliga;25;1997;14.7;0.11;0.75;0.07;4.83
Henrique;BRA;DF;Lyon;Ligue 1;28;1994;1.4;0;0;0;3.57
Luiz Henrique;BRA;FW;Betis;La Liga;22;2001;12.9;0.03;0.54;0.47;3.1
Matheus Henrique;BRA;MF;Sassuolo;Serie A;25;1997;7.6;0.11;1.45;0.13;2.37
Rico Henry;ENG;DF;Brentford;Premier League;25;1997;20.9;0;0.62;0;2.44
Thomas Henry;FRA;FW;Hellas Verona;Serie A;28;1994;11.4;0.11;1.14;0.09;0.44
Christophe Hérelle;MTQ;DF;Brest;Ligue 1;30;1992;9.9;0;0.3;0;2.73
Mario Hermoso;ESP;DF;Atlético Madrid;La Liga;27;1995;5.9;0.29;0.51;0;1.02
Aridane Hernández;EQG;DF;Osasuna;La Liga;33;1989;5.6;0;0;0;2.68
Lucas Hernández;FRA;DF;Bayern Munich;Bundesliga;26;1996;5.3;0;0.19;0;2.08
Luis Hernández;ESP;DF;Cádiz;La Liga;33;1989;19;0;0.21;0;1.58
Mario Hernández;ESP;FW;Rayo Vallecano;La Liga;24;1999;0;0;0;0;0
Theo Hernández;FRA;DF;Milan;Serie A;25;1997;18.3;0.03;1.48;0.05;2.35
Ander Herrera;ESP;MF;Athletic Club;La Liga;33;1989;3.4;0;1.47;0;3.24
Sergio Herrera;ESP;GK;Osasuna;La Liga;29;1993;10;0;0.1;0;0.1
Yangel Herrera;VEN;MFFW;Girona;La Liga;25;1998;8.6;0.11;1.05;0;2.79
Patrick Herrmann;GER;FWMF;M'Gladbach;Bundesliga;32;1991;1.6;0.17;1.88;0;4.38
Son Heung-min;KOR;MFFW;Tottenham;Premier League;30;1992;19.2;0.08;1.72;0.26;1.2
Aaron Hickey;SCO;DF;Brentford;Premier League;20;2002;8.2;0;0.12;0;3.66
Isak Hien;SWE;DF;Hellas Verona;Serie A;24;1999;15.8;0;0.13;0;3.92
Omar El Hilali;MAR;DFMF;Espanyol;La Liga;19;2003;1;0;1;0;4
Piero Hincapié;ECU;DF;Leverkusen;Bundesliga;21;2002;16.2;0.09;0.25;0.06;2.84
Morten Hjulmand;DEN;MF;Lecce;Serie A;23;1999;19;0;0.95;0;4.95
Joseph Hodge;IRL;MF;Wolves;Premier League;20;2002;1.9;0;0.53;0;2.63
Nicolas Höfler;GER;MF;Freiburg;Bundesliga;32;1990;18.4;0;0.22;0;3.75
Jonas Hofmann;GER;FW;M'Gladbach;Bundesliga;30;1992;15.6;0.32;3.14;0.06;1.54
Philipp Hofmann;GER;FW;Bochum;Bundesliga;29;1993;16.2;0.25;0.93;0.12;0.74
Rob Holding;ENG;DF;Arsenal;Premier League;27;1995;0.2;0;0;0;5
Lucas Höler;GER;FWMF;Freiburg;Bundesliga;28;1994;4.2;0.29;0.71;0;1.19
Mason Holgate;ENG;DF;Everton;Premier League;26;1996;3.6;0;0.83;0;3.89
Emil Holm;SWE;DF;Spezia;Serie A;22;2000;15.5;0.07;0.84;0.13;2.19
Noah Holm;NOR;FWMF;Reims;Ligue 1;21;2001;2.2;0;1.36;0;2.73
Gerrit Holtmann;PHI;FW;Bochum;Bundesliga;27;1995;9.2;0.04;1.09;0.11;1.52
Martin Hongla;CMR;MF;Hellas Verona;Serie A;24;1998;5.8;0;0.52;0.17;2.41
Martin Hongla;CMR;DF;Valladolid;La Liga;24;1998;0.9;0;0;0;0
Franck Honorat;FRA;FWMF;Brest;Ligue 1;26;1996;19.2;0.1;3.18;0.1;2.4
Jannes Horn;GER;DFFW;Bochum;Bundesliga;26;1997;0.7;0;0;0;7.14
Cédric Hountondji;BEN;DF;Angers;Ligue 1;29;1994;21.9;0;0.14;0;2.47
Ilyes Housni;FRA;FW;Paris S-G;Ligue 1;17;2005;0.1;0;0;0;10
Petko Hristov;BUL;DF;Spezia;Serie A;23;1999;4.1;0;0;0;2.44
Ajdin Hrustic;AUS;MF;Hellas Verona;Serie A;26;1996;2.5;0;1.2;0;0.8
Timo Hübers;GER;DF;Köln;Bundesliga;26;1996;14.4;0;0.14;0;3.75
Callum Hudson-Odoi;ENG;FWMF;Leverkusen;Bundesliga;22;2000;6.1;0;2.13;0.16;1.15
Will Hughes;ENG;MF;Crystal Palace;Premier League;27;1995;4.2;0;0.24;0;5.24
Mats Hummels;GER;DF;Dortmund;Bundesliga;34;1988;12.8;0;0.31;0;4.06
Adrien Hunou;FRA;FWMF;Angers;Ligue 1;29;1994;17.7;0.09;0.79;0;1.86
Denis Huseinbasic;GER;MFFW;Köln;Bundesliga;21;2001;5.7;0.27;0.7;0;3.33
Omari Hutchinson;ENG;FW;Chelsea;Premier League;19;2003;0.3;0;0;0;3.33
Elseid Hysaj;ALB;DF;Lazio;Serie A;28;1994;8.9;0;0.56;0.22;3.37
Pierre Højbjerg;DEN;MF;Tottenham;Premier League;27;1995;21.8;0.17;0.92;0.05;3.12
Rasmus Højlund;DEN;FW;Atalanta;Serie A;20;2003;10.6;0.17;1.6;0.57;0.28
Iago;BRA;DFMF;Augsburg;Bundesliga;25;1997;12.1;0;0.58;0.08;2.48
Pablo Ibáñez;ESP;MF;Osasuna;La Liga;24;1998;2.1;0;1.43;0;4.76
Roger Ibanez;BRA;DF;Roma;Serie A;24;1998;21;0.18;0.14;0;4.38
Mounaim El Idrissy;FRA;FW;Ajaccio;Ligue 1;24;1999;17.7;0.1;0.51;0;1.53
Iglesias;ESP;DF;Getafe;La Liga;24;1998;15;0.08;0.6;0.07;3.47
Borja Iglesias;ESP;FW;Betis;La Liga;30;1993;16.4;0.13;0.85;0.06;0.55
Igor;BRA;DF;Fiorentina;Serie A;25;1998;12.6;0;0.24;0.08;3.02
Kelechi Iheanacho;NGA;FWMF;Leicester City;Premier League;26;1996;4.9;0.17;2.45;0.41;0.61
Jonathan Ikone;FRA;FW;Fiorentina;Serie A;24;1998;13;0.07;1.31;0.46;0.85
Rareþ Ilie;ROU;MFFW;Nice;Ligue 1;19;2003;1.6;0;1.25;0;2.5
Samuel Iling-Junior;ENG;DFMF;Juventus;Serie A;19;2003;1.2;0;1.67;0;2.5
Emirhan Ýlkhan;TUR;MF;Torino;Serie A;18;2004;1;0;1;0;3
Asier Illarramendi;ESP;MF;Real Sociedad;La Liga;32;1990;5.6;0.13;0.54;0;5
Ciro Immobile;ITA;FW;Lazio;Serie A;32;1990;13.2;0.15;1.06;0.23;0.53
Danny Ings;ENG;FW;West Ham;Premier League;30;1992;0.6;0;1.67;0;3.33
Danny Ings;ENG;FW;Aston Villa;Premier League;30;1992;9.2;0.16;0.98;0.22;1.2
Marcus Ingvartsen;DEN;FWMF;Mainz 05;Bundesliga;27;1996;7;0.16;0.57;0.29;0.57
Bonke Innocent;NGA;MF;Lorient;Ligue 1;27;1996;10.2;0;0.49;0;4.22
Alexander Isak;SWE;FW;Newcastle Utd;Premier League;23;1999;4.2;0.18;1.67;0;1.19
Alexander Isak;SWE;FW;Real Sociedad;La Liga;23;1999;1.7;0.33;1.18;0;0.59
Isco;ESP;MFFW;Sevilla;La Liga;30;1992;8.9;0;1.91;0.22;2.81
Ismaily;BRA;DF;Lille;Ligue 1;33;1990;16.1;0.17;1.12;0;3.42
Ardian Ismajli;ALB;DF;Empoli;Serie A;26;1996;14.4;0;0.07;0;3.06
